tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,tripduration_datetime
171,2020-03-01 09:55:55.8980,2020-03-01 09:58:47.2710,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42448,Subscriber,1982,1,1970-01-01 02:51:00
172,2020-03-01 09:57:40.8920,2020-03-01 10:00:33.6440,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42466,Subscriber,1973,2,1970-01-01 02:52:00
296,2020-03-01 09:59:01.8820,2020-03-01 10:03:58.5930,3483,Montgomery St,40.71942,-74.05099,3209,Brunswick St,40.7241765,-74.0506564,42531,Subscriber,1982,1,1970-01-01 04:56:00
404,2020-03-01 10:00:37.5210,2020-03-01 10:07:21.8000,3206,Hilltop,40.7311689,-74.0575736,3210,Pershing Field,40.742677141,-74.051788633,42423,Subscriber,1990,1,1970-01-01 06:44:00
160,2020-03-01 10:05:58.3460,2020-03-01 10:08:39.0030,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3203,Hamilton Park,40.727595966,-74.044247311,42466,Subscriber,1973,2,1970-01-01 02:40:00
261,2020-03-01 10:09:03.5890,2020-03-01 10:13:24.8850,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3203,Hamilton Park,40.727595966,-74.044247311,42490,Subscriber,1983,1,1970-01-01 04:21:00
227,2020-03-01 10:15:47.7140,2020-03-01 10:19:34.7580,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42307,Subscriber,1994,2,1970-01-01 03:47:00
315,2020-03-01 10:16:54.0840,2020-03-01 10:22:09.8160,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42245,Subscriber,1983,2,1970-01-01 05:15:00
297,2020-03-01 10:17:15.2780,2020-03-01 10:22:12.8400,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42625,Subscriber,1971,1,1970-01-01 04:57:00
274,2020-03-01 10:18:46.5550,2020-03-01 10:23:20.9870,3195,Sip Ave,40.73089709786179,-74.06391263008118,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,42235,Subscriber,1966,1,1970-01-01 04:34:00
289,2020-03-01 10:24:33.4950,2020-03-01 10:29:22.8930,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3213,Van Vorst Park,40.71848892,-74.047726625,42323,Subscriber,1969,0,1970-01-01 04:49:00
812,2020-03-01 10:27:45.2200,2020-03-01 10:41:17.9990,3213,Van Vorst Park,40.71848892,-74.047726625,3213,Van Vorst Park,40.71848892,-74.047726625,42374,Subscriber,1984,1,1970-01-01 13:32:00
642,2020-03-01 10:29:26.4060,2020-03-01 10:40:09.0420,3202,Newport PATH,40.7272235,-74.0337589,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42478,Customer,1969,0,1970-01-01 10:42:00
103,2020-03-01 10:30:17.0530,2020-03-01 10:32:00.8550,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42298,Subscriber,1964,2,1970-01-01 01:43:00
250,2020-03-01 10:30:32.2940,2020-03-01 10:34:43.2780,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42538,Subscriber,1981,1,1970-01-01 04:10:00
287,2020-03-01 10:33:21.7260,2020-03-01 10:38:09.5350,3185,City Hall,40.7177325,-74.043845,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42484,Subscriber,1965,1,1970-01-01 04:47:00
685,2020-03-01 10:34:30.4510,2020-03-01 10:45:56.2450,3268,Lafayette Park,40.71346382669195,-74.06285852193832,3694,Jackson Square,40.71113,-74.0789,42440,Subscriber,1997,2,1970-01-01 11:25:00
422,2020-03-01 10:35:51.2770,2020-03-01 10:42:53.4020,3212,Christ Hospital,40.734785818,-74.050443636,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,42299,Subscriber,1984,1,1970-01-01 07:02:00
239,2020-03-01 10:36:34.4320,2020-03-01 10:40:33.6450,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42428,Subscriber,1988,1,1970-01-01 03:59:00
235,2020-03-01 10:37:41.5440,2020-03-01 10:41:36.7880,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,42555,Subscriber,1984,1,1970-01-01 03:55:00
307,2020-03-01 10:40:39.6970,2020-03-01 10:45:46.7480,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3202,Newport PATH,40.7272235,-74.0337589,42219,Subscriber,1988,2,1970-01-01 05:07:00
426,2020-03-01 10:41:53.6290,2020-03-01 10:48:59.9000,3202,Newport PATH,40.7272235,-74.0337589,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42338,Subscriber,1992,1,1970-01-01 07:06:00
371,2020-03-01 10:44:49.5560,2020-03-01 10:51:01.3580,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,3195,Sip Ave,40.73089709786179,-74.06391263008118,42235,Subscriber,1998,1,1970-01-01 06:11:00
409,2020-03-01 10:48:04.7370,2020-03-01 10:54:54.4180,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42391,Subscriber,1984,1,1970-01-01 06:49:00
1322,2020-03-01 10:48:34.5480,2020-03-01 11:10:36.8960,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42625,Subscriber,1988,1,1970-01-01 22:02:00
306,2020-03-01 10:48:47.4520,2020-03-01 10:53:54.0450,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3211,Newark Ave,40.72152515,-74.046304543,42111,Subscriber,1979,1,1970-01-01 05:06:00
163,2020-03-01 10:54:30.7140,2020-03-01 10:57:14.4400,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42160,Subscriber,1981,1,1970-01-01 02:43:00
3211,2020-03-01 10:56:19.0350,2020-03-01 11:49:50.5760,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,42219,Customer,1969,0,1970-01-03 05:31:00
189,2020-03-01 10:59:37.1550,2020-03-01 11:02:46.5510,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.046304543,42349,Subscriber,1984,1,1970-01-01 03:09:00
